,dv,heat,year,region,country,rain,region_id
457,9.72,0.0,2010,20,PER,0.4161015,PER_20
458,11.14,0.0,2010,21,PER,-0.4465487,PER_21
459,10.83,0.0,2010,22,PER,-0.5164113,PER_22
460,9.74,0.0,2010,23,PER,-0.681061,PER_23
461,12.41,0.0,2010,24,PER,0.4889648,PER_24
462,10.93,0.0,2010,25,PER,-0.482156,PER_25
463,8.86,0.0,2011,1,PER,0.1777078,PER_1
464,8.19,0.0,2011,2,PER,-0.2285135,PER_2
465,13.2,0.0,2011,3,PER,-0.1224936,PER_3
466,7.47,0.0,2011,4,PER,-0.2304649,PER_4
467,11.24,0.0,2011,5,PER,-0.04281843,PER_5
468,6.17,0.0,2011,6,PER,0.1710095,PER_6
469,16.2,0.0,2011,8,PER,0.1214057,PER_8
470,6.86,0.0,2011,9,PER,-0.1073926,PER_9
471,7.54,0.0,2011,10,PER,-0.03696456,PER_10
472,11.98,0.0,2011,11,PER,-0.01856125,PER_11
473,14.4,0.0,2011,12,PER,-0.0197157,PER_12
474,4.4,0.0,2011,13,PER,-0.01465513,PER_13
475,5.85,0.0,2011,14,PER,0.1665052,PER_14
476,8.4,0.0,2011,15,PER,-0.2906089,PER_15
477,14.55,0.0,2011,16,PER,-1.018319,PER_16
478,13.91,0.0,2011,17,PER,0.2115257,PER_17
479,9.84,0.0,2011,18,PER,-0.2308451,PER_18
480,10.42,0.0,2011,19,PER,-0.1393875,PER_19
481,10.48,0.0,2011,20,PER,0.2236343,PER_20
482,12.59,0.0,2011,21,PER,-0.03327346,PER_21
483,9.38,0.0,2011,22,PER,-0.04591045,PER_22
484,9.85,0.0,2011,23,PER,-0.229142,PER_23
485,11.3,0.0,2011,24,PER,0.1292985,PER_24
486,7.88,0.0,2011,25,PER,-0.08243923,PER_25
487,11.27,0.0,2012,1,PER,0.7153535,PER_1
488,8.24,0.0,2012,2,PER,-0.4917676,PER_2
489,15.76,0.0,2012,3,PER,-0.1959353,PER_3
490,6.96,0.0,2012,4,PER,-0.1631293,PER_4
491,11.84,0.0,2012,5,PER,-0.4109784,PER_5
492,8.22,0.0,2012,6,PER,0.3720492,PER_6
493,16.57,0.0,2012,8,PER,-0.1578844,PER_8
494,8.35,0.0,2012,9,PER,-0.6696374,PER_9
495,6.86,0.0,2012,10,PER,-0.1086854,PER_10
496,11.6,0.0,2012,11,PER,-0.5522783,PER_11
497,9.32,0.0,2012,12,PER,-0.4876887,PER_12
498,3.13,0.0,2012,13,PER,-0.2174958,PER_13
499,7.35,0.0,2012,14,PER,0.4310743,PER_14
500,8.14,0.0,2012,15,PER,-0.8125939,PER_15
501,12.26,0.0,2012,16,PER,-0.4018864,PER_16
502,14.78,0.0,2012,17,PER,-0.3263272,PER_17
503,8.83,0.0,2012,18,PER,0.110904,PER_18
504,7.85,0.0,2012,19,PER,-0.3414331,PER_19
505,8.33,0.0,2012,20,PER,0.7950945,PER_20
506,11.71,0.0,2012,21,PER,0.05969516,PER_21
507,11.57,0.0,2012,22,PER,0.1707432,PER_22
508,9.88,0.0,2012,23,PER,0.007301332,PER_23
509,10.87,0.0,2012,24,PER,0.7530677,PER_24
510,8.26,0.0,2012,25,PER,0.2018486,PER_25
511,5.54,0.0,2008,1,PHL,0.5222531,PHL_1
512,5.19,0.0,2008,2,PHL,0.6571514,PHL_2
513,4.98,0.0,2008,3,PHL,0.6500344,PHL_3
514,7.42,0.0,2008,4,PHL,0.7778867,PHL_4
515,4.55,0.0,2008,5,PHL,1.110951,PHL_5
516,5.15,0.0,2008,6,PHL,0.7758854,PHL_6
517,12.2,0.0,2008,7,PHL,0.3836307,PHL_7
518,6.24,0.0,2008,8,PHL,1.131355,PHL_8
519,6.62,0.0,2008,9,PHL,1.219911,PHL_9
520,10.27,0.0,2008,10,PHL,1.196724,PHL_10
521,9.16,0.0,2008,11,PHL,1.22546,PHL_11
522,10.45,0.0,2008,12,PHL,0.9414344,PHL_12
523,10.58,0.0,2008,13,PHL,1.030049,PHL_13
524,10.28,0.0,2008,14,PHL,0.7827767,PHL_14
525,7.23,0.0,2008,15,PHL,0.667917,PHL_15
526,10.57,0.0,2008,16,PHL,0.882116,PHL_16
527,8.08,0.0,2008,17,PHL,1.09575,PHL_17
528,5.84,0.08333333,2013,1,PHL,-0.02874963,PHL_1
529,10.04,0.0,2013,2,PHL,-0.07134721,PHL_2
530,4.33,0.0,2013,3,PHL,-0.03464137,PHL_3
531,4.21,0.1666667,2013,4,PHL,-0.06820927,PHL_4
532,7.7,0.1666667,2013,5,PHL,0.2807076,PHL_5
533,3.94,0.1666667,2013,6,PHL,-0.07923322,PHL_6
534,6.84,0.08333333,2013,7,PHL,-0.01895408,PHL_7
535,9.59,0.08333333,2013,8,PHL,0.3693819,PHL_8
536,5.7,0.0,2013,9,PHL,0.5513279,PHL_9
537,7.36,0.0,2013,10,PHL,0.6456083,PHL_10
