dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
25.74,0.416666666666667,2015,6,COL,-0.15370383098315,65.47,9.21,100.0,,,,,61.82,30.39,89.17,32.23,20.21,69.79,16.97,54.1,27.45,,36.34,25.74,62.69,,,93.53,COL_6
10.81,0.0,2016,1,ETH,-0.112252567961702,24.72,4.16,51.05,3.58,4.43,15.41,18.93,29.0,38.89,39.07,44.84,37.53,22.82,11.54,,28.62,36.35,9.69,10.81,8.09,8.42,17.85,37.46,ETH_1
6.03,0.0,2016,2,ETH,-0.323572243004636,27.33,1.91,23.71,1.42,2.97,13.29,15.59,27.93,34.18,60.18,51.54,21.44,18.63,15.44,,22.61,31.6,6.09,6.03,4.0,9.37,33.33,28.73,ETH_2
13.44,0.0,2016,3,ETH,-0.305298494740146,19.31,3.25,44.97,1.42,1.68,8.42,10.31,27.03,40.6,26.24,62.62,51.03,12.13,7.48,,23.11,39.36,14.76,13.44,4.0,7.6,24.71,23.13,ETH_3
20.19,0.0,2016,4,ETH,-0.267412633497951,15.24,2.95,37.32,1.95,4.22,20.18,12.49,21.98,48.42,32.69,46.32,37.14,11.42,9.78,,17.08,24.88,22.59,20.19,4.0,8.04,20.9,22.79,ETH_4
4.55,0.0,2016,5,ETH,0.0853508851955599,18.88,1.59,12.63,2.51,1.35,4.12,7.91,55.7,57.35,58.6,57.52,31.36,28.6,23.64,,31.75,21.48,5.79,4.55,4.0,10.06,33.12,15.24,ETH_5
12.49,0.0,2016,6,ETH,0.0934284145270015,16.61,3.38,38.68,1.22,3.37,11.38,9.34,8.46,62.05,18.83,61.19,52.31,15.09,9.9,,14.37,22.3,14.84,12.49,4.0,7.75,20.34,24.44,ETH_6
11.41,0.0833333333333333,2016,7,ETH,-0.280616163011089,12.94,3.35,35.29,1.59,4.36,13.3,8.44,35.29,30.28,58.18,50.78,47.11,18.57,10.78,,22.58,32.24,13.97,11.41,4.08,7.54,23.43,17.17,ETH_7
18.88,0.166666666666667,2016,8,ETH,-0.447621876565901,46.53,5.85,50.67,3.05,3.46,13.76,25.55,44.5,38.24,54.65,45.09,33.54,28.74,21.65,,23.83,39.29,20.2,18.88,12.06,7.51,36.46,46.58,ETH_8
10.17,0.0,2016,10,ETH,-0.361065507629303,100.0,8.57,87.88,24.49,10.54,45.3,81.05,40.0,26.6,74.49,15.81,4.05,35.25,22.95,,24.95,31.03,12.74,10.17,60.38,6.65,24.86,99.77,ETH_10
